timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-05-13,66.7500,67.0000,66.3000,66.4100,45.6277,9532400,0.0000,1.0000
2008-05-12,66.5900,66.8900,66.3000,66.7100,45.8338,7707900,0.0000,1.0000
2008-05-09,66.5200,66.9700,66.3500,66.5500,45.7239,8758400,0.0000,1.0000
2008-05-08,67.0300,67.1600,66.7000,66.9000,45.9643,9444500,0.0000,1.0000
2008-05-07,67.4800,67.6800,66.7900,66.9100,45.9712,12628400,0.0000,1.0000
2008-05-06,67.7000,67.9800,67.3100,67.5800,46.4315,9487600,0.0000,1.0000
2008-05-05,68.0400,68.3200,67.7100,67.9000,46.6514,10550400,0.0000,1.0000
2008-05-02,67.5100,68.3200,67.5100,68.2600,46.8987,12562300,0.0000,1.0000
2008-05-01,67.1300,67.8800,66.9500,67.8100,46.5895,13165100,0.0000,1.0000
2008-04-30,67.4500,67.6700,66.9200,67.0900,46.0949,13098400,0.0000,1.0000
2008-04-29,67.2500,67.4900,67.1300,67.1900,46.1636,7706800,0.0000,1.0000
2008-04-28,67.3000,67.6700,67.1700,67.3200,46.2529,9071600,0.0000,1.0000
2008-04-25,67.5700,67.7000,66.9400,67.3100,46.2460,9182200,0.0000,1.0000
2008-04-24,67.2100,67.7400,67.0200,67.3700,46.2872,9613100,0.0000,1.0000
2008-04-23,67.1200,67.4900,66.7500,67.2600,46.2117,10643000,0.0000,1.0000
2008-04-22,66.0600,67.1600,65.7900,66.9900,46.0262,13185600,0.0000,1.0000
2008-04-21,66.2500,66.5650,66.0500,66.3200,45.5658,8975600,0.0000,1.0000
2008-04-18,66.5000,66.8000,65.9400,66.5100,45.6964,10741100,0.0000,1.0000
2008-04-17,65.6400,66.0000,65.5500,65.7600,45.1811,8841500,0.0000,1.0000
2008-04-16,65.7900,65.9100,65.1300,65.7000,45.1398,12617900,0.0000,1.0000
2008-04-15,65.6300,66.0200,64.9900,65.6500,45.1055,17362000,0.0000,1.0000
2008-04-14,65.9200,66.4200,65.7400,65.7400,45.1673,10326800,0.0000,1.0000
2008-04-11,66.5900,66.7500,65.9400,66.0000,45.3460,9234800,0.0000,1.0000
